Jurisdiction,iso_3166_2,YearDur,Year,Fuel,Unit,Quantity
AUS,AU-AUS,1994-95,1994,Total non-renewable,GWh,156005.1
AUS,AU-AUS,1994-95,1994,Total renewable,GWh,16987.9
AUS,AU-AUS,1994-95,1994,Wind,GWh,7
AUS,AU-AUS,1995-96,1995,"Bagasse, wood",GWh,670
AUS,AU-AUS,1995-96,1995,Biogas,GWh,258
AUS,AU-AUS,1995-96,1995,Black coal,GWh,106089.6
AUS,AU-AUS,1995-96,1995,Brown coal,GWh,39427
AUS,AU-AUS,1995-96,1995,Geothermal,GWh,
AUS,AU-AUS,1995-96,1995,Hydro,GWh,15731
AUS,AU-AUS,1995-96,1995,Large-scale solar PV,GWh,
AUS,AU-AUS,1995-96,1995,Natural gas,GWh,12445
AUS,AU-AUS,1995-96,1995,Oil products,GWh,2805
AUS,AU-AUS,1995-96,1995,Other,GWh,
AUS,AU-AUS,1995-96,1995,Small-scale solar PV,GWh,23.4
AUS,AU-AUS,1995-96,1995,Total,GWh,177456
AUS,AU-AUS,1995-96,1995,Total non-renewable,GWh,160766.6
AUS,AU-AUS,1995-96,1995,Total renewable,GWh,16689.4
AUS,AU-AUS,1995-96,1995,Wind,GWh,7
AUS,AU-AUS,1996-97,1996,"Bagasse, wood",GWh,670
AUS,AU-AUS,1996-97,1996,Biogas,GWh,295
AUS,AU-AUS,1996-97,1996,Black coal,GWh,109452.2
AUS,AU-AUS,1996-97,1996,Brown coal,GWh,41893
AUS,AU-AUS,1996-97,1996,Geothermal,GWh,
AUS,AU-AUS,1996-97,1996,Hydro,GWh,16852
AUS,AU-AUS,1996-97,1996,Large-scale solar PV,GWh,
AUS,AU-AUS,1996-97,1996,Natural gas,GWh,11426
AUS,AU-AUS,1996-97,1996,Oil products,GWh,2175
AUS,AU-AUS,1996-97,1996,Other,GWh,
AUS,AU-AUS,1996-97,1996,Small-scale solar PV,GWh,27.8
AUS,AU-AUS,1996-97,1996,Total,GWh,182798
AUS,AU-AUS,1996-97,1996,Total non-renewable,GWh,164946.2
AUS,AU-AUS,1996-97,1996,Total renewable,GWh,17851.8
AUS,AU-AUS,1996-97,1996,Wind,GWh,7
AUS,AU-AUS,1997-98,1997,"Bagasse, wood",GWh,670
AUS,AU-AUS,1997-98,1997,Biogas,GWh,359
AUS,AU-AUS,1997-98,1997,Black coal,GWh,116969.5
AUS,AU-AUS,1997-98,1997,Brown coal,GWh,46633
AUS,AU-AUS,1997-98,1997,Geothermal,GWh,
AUS,AU-AUS,1997-98,1997,Hydro,GWh,15733
AUS,AU-AUS,1997-98,1997,Large-scale solar PV,GWh,
AUS,AU-AUS,1997-98,1997,Natural gas,GWh,12934
AUS,AU-AUS,1997-98,1997,Oil products,GWh,1821
AUS,AU-AUS,1997-98,1997,Other,GWh,
AUS,AU-AUS,1997-98,1997,Small-scale solar PV,GWh,33.5
AUS,AU-AUS,1997-98,1997,Total,GWh,195161
AUS,AU-AUS,1997-98,1997,Total non-renewable,GWh,178357.5
AUS,AU-AUS,1997-98,1997,Total renewable,GWh,16803.5
AUS,AU-AUS,1997-98,1997,Wind,GWh,8
AUS,AU-AUS,1998-99,1998,"Bagasse, wood",GWh,674
AUS,AU-AUS,1998-99,1998,Biogas,GWh,459
AUS,AU-AUS,1998-99,1998,Black coal,GWh,118586.3
AUS,AU-AUS,1998-99,1998,Brown coal,GWh,49703
AUS,AU-AUS,1998-99,1998,Geothermal,GWh,
AUS,AU-AUS,1998-99,1998,Hydro,GWh,16563
AUS,AU-AUS,1998-99,1998,Large-scale solar PV,GWh,
AUS,AU-AUS,1998-99,1998,Natural gas,GWh,16001
AUS,AU-AUS,1998-99,1998,Oil products,GWh,1729
AUS,AU-AUS,1998-99,1998,Other,GWh,
AUS,AU-AUS,1998-99,1998,Small-scale solar PV,GWh,37.7
AUS,AU-AUS,1998-99,1998,Total,GWh,203781
AUS,AU-AUS,1998-99,1998,Total non-renewable,GWh,186019.3
AUS,AU-AUS,1998-99,1998,Total renewable,GWh,17761.7
AUS,AU-AUS,1998-99,1998,Wind,GWh,28
AUS,AU-AUS,1999-00,1999,"Bagasse, wood",GWh,685
AUS,AU-AUS,1999-00,1999,Biogas,GWh,449
AUS,AU-AUS,1999-00,1999,Black coal,GWh,123833.5
AUS,AU-AUS,1999-00,1999,Brown coal,GWh,50200
AUS,AU-AUS,1999-00,1999,Geothermal,GWh,
AUS,AU-AUS,1999-00,1999,Hydro,GWh,16720
AUS,AU-AUS,1999-00,1999,Large-scale solar PV,GWh,
AUS,AU-AUS,1999-00,1999,Natural gas,GWh,16245
AUS,AU-AUS,1999-00,1999,Oil products,GWh,1784
AUS,AU-AUS,1999-00,1999,Other,GWh,
AUS,AU-AUS,1999-00,1999,Small-scale solar PV,GWh,43.5
AUS,AU-AUS,1999-00,1999,Total,GWh,210018
AUS,AU-AUS,1999-00,1999,Total non-renewable,GWh,192062.5
AUS,AU-AUS,1999-00,1999,Total renewable,GWh,17955.5
AUS,AU-AUS,1999-00,1999,Wind,GWh,58
AUS,AU-AUS,Jan-00,#VALUE!,"Bagasse, wood",GWh,633
AUS,AU-AUS,Jan-00,#VALUE!,Biogas,GWh,12
AUS,AU-AUS,Jan-00,#VALUE!,Black coal,GWh,134264
AUS,AU-AUS,Jan-00,#VALUE!,Brown coal,GWh,52223
AUS,AU-AUS,Jan-00,#VALUE!,Geothermal,GWh,
AUS,AU-AUS,Jan-00,#VALUE!,Hydro,GWh,16933
AUS,AU-AUS,Jan-00,#VALUE!,Large-scale solar PV,GWh,
AUS,AU-AUS,Jan-00,#VALUE!,Natural gas,GWh,17271
AUS,AU-AUS,Jan-00,#VALUE!,Oil products,GWh,2044
AUS,AU-AUS,Jan-00,#VALUE!,Other,GWh,
AUS,AU-AUS,Jan-00,#VALUE!,Small-scale solar PV,GWh,50
AUS,AU-AUS,Jan-00,#VALUE!,Total,GWh,223640
AUS,AU-AUS,Jan-00,#VALUE!,Total non-renewable,GWh,205802
AUS,AU-AUS,Jan-00,#VALUE!,Total renewable,GWh,17838
AUS,AU-AUS,Jan-00,#VALUE!,Wind,GWh,210
AUS,AU-AUS,1-Feb,#VALUE!,"Bagasse, wood",GWh,669
AUS,AU-AUS,1-Feb,#VALUE!,Biogas,GWh,281
AUS,AU-AUS,1-Feb,#VALUE!,Black coal,GWh,116774.7
AUS,AU-AUS,1-Feb,#VALUE!,Brown coal,GWh,56493
AUS,AU-AUS,1-Feb,#VALUE!,Geothermal,GWh,
AUS,AU-AUS,1-Feb,#VALUE!,Hydro,GWh,16054
AUS,AU-AUS,1-Feb,#VALUE!,Large-scale solar PV,GWh,
